Tweets,Category
@VineetSonkar No validity. Valid till you use it.,0
"Never Used Ola Money? Now is a good time to start
Add Rs.500 Ola Money with code MEGA500, &amp; we'll double your recharge!
#DoNoteWorry RT now!",1
@iAbhijeetGupta It's a one time offer. #DoNoteWorry,0
"OVERWHELMING response guys!!!
25K recharges under the MEGA500 done &amp; dusted! But #DoNoteWorry more Ola Money offers coming your way today!",0
Should we bring back MEGA500 Offer on Ola Money? #DoNoteWorry,0
"SUNBURN icon is going live on the Ola app at 12:00 in #Mumbai. Are you an #OlaSelect member yet?  @SunburnFestival 

#SunburnWithOla",0
@nuttynupur @glblctznIN Sure- one tweet per share ride!,1
MEGA500 is back! Recharge for Rs.500+ with code MEGA500 &amp; get Rs500 EXTRA Only for 1st time Ola Money users &amp; for JUST 15 mins! #DoNOTEWorry,0
@Akshay_goplani @OlaSupport Applicable only for 1st time users of Ola Money,0
"@aham_sarvam For 1st time users only , and it just expired :(",0
"AAAAAnd it's done! #MEGA500 code has now expired. 
But stay tuned for off more offers coming your way on #OlaMoney
#DoNOTEWorry",0
@jaimumbaikar Next one coming up at 2! #DoNOTEWorry,0
"Next Ola Money offer is up at 2:20 pm! 
RT and spread the word! 
#DoNOTEWorry",0
"@RumanaNazarali @i_surbhichawla Rumana, the offer was only for 1st time users of OlaMoney",0
"It's BACK!
Get Rs.500 Extra on your first Ola Money recharge! Min. recharge amount Rs.500
Code: MEGA500
Offer on for 20 mins ONLY! 
RT NOW!",0
"Done Done Done! MEGA500 is now over. 
RT this post if you've made some Ola Money today! #DoNOTEWorry",0
@sirolagaurav Yes! stay tuned.,1
Partners like Vipin Kumar make all of this worth - we'll make sure he gets his due and more #DoNoteWorry https://t.co/Rsmb43b8uO,1
"Some had great beginnings, others went out with a bang. One way or another, it was a great ride.
#WhatJustHappened https://t.co/Iq6c2AXteo",1
@DarrKeAage @AbdheshpuriG @HappyHigh01 Can you share the CRN this happened on? We can help.,1
"Martin Garrix is playing at @SunburnFestival today in #Mumbai &amp; we have a few tickets. Ready for #SunburnWithOla?
RT to let us know!!",1
@SunburnFestival @ContestBoard @ContestIndia_ @Contest_Hub @thefreejinn @Contesttable @Contest_Alert,0
"Strike a pose and get set for #SunburnWithOla!! Send us your craziest photos and win passes for @SunburnFestival 

Get started now!! https://t.co/hHcr1X7eN0",1
"@Deepakberiwala Thanks for the shoutout, Deepak. Proud to keep India moving! #DoNOTEWorry",1
Keep'em photos coming in!! Your tickets to watch Martin Garrix LIVE at @SunburnFestival are here. #SunburnWithOla,0
Hey @AamitGgorh send us your email address ASAP!! Congratulations on being the first winner of #SunburnWithOla https://t.co/8wuvx1ILzP,1
.@vally2211 Keep calm and send your email address ASAP!! Hope you enjoy #SunburnWithOla https://t.co/PlnngJB35O,1
"Sweet @div_luv11, send in your email address please - post photos when you're enjoying #SunburnWithOla https://t.co/ER0PYtKsK0",1
.@shubhamh2100_h you've won!!! Please share your email address.#SunburnWithOla https://t.co/JHzGbHu8R8,1
"More pizzas and more Martin Garrix for you @juned_tj !!Please send us your email ID
#SunburnWithOla https://t.co/c9nnMBU0uh",1
Hope you enjoy #SunburnWithOla @roshangur !! Please share your email ID. https://t.co/VYvRMTlVDM,1
You got it @jagani_siddhi !! Hope you enjoy #SunburnWithOla - please share your email ID ASAP https://t.co/hrgATvg5Kr,1
Awesome @its_patond please share your email ID ASAP https://t.co/Qyac80jBEG,1
Wow @voltboy247 keep your moves ready for #SunburnWithOla !! Please share your email ID ASAP https://t.co/3MyvnB8g0i,1
"Congrats @Sonawaneajay01, please share your email ID ASAP

#SunburnWithOla https://t.co/XEC2teqq4K",1
We have 2 more couple passes for #SunburnWithOla. EDM fan? Give us the strongest reason to give it to you :),1
"@piratedhuman Good, please share your email ID now :)",1
@_irishika LOVELY. Please share your email address :),1
@AamitGgorh @Sonawaneajay01 Your Mumbai tickets are in your inbox. Please check. Have a rad time at #SunburnWithOla,1
"This #ChildrensDay, @Olacabs, #Kolkata joins hands with #CRY to support the cause of #education. 
#StayTuned to know more! https://t.co/vyREqClKYJ",1
"#SunburnWithOla is in #bangalore today. RT this if you want to watch Martin Garrix LIVE @SunburnFestival 

Contest starting soon!",1
You know what to do - strike a pose! Craziest photos win tickets to watch Martin Garrix LIVE in Bangalore! It's #SunburnWithOla all the way! https://t.co/LoIBsnsxmP,1
@snehaslair More power to her!,0
@Debasis070 Oh man!! We get your needs - please share your email ID with us. We're sending you tickets for #SunburnWithOla,1
@mkj812 Crazy it is and you're going for #SunburnWithOla!! Please share your email ID :),1
@Darora03 That's a lot of good vibes!! Please share your email ID :),1
@miteshk3ri LOL!! Please share your email ID ASAP,1
@akshayprbhu Please DM your email ID ASAP,1
@sudyspeaks Whoa!! Please share your email ID ASAP :),1
@preethi_20_4 @SunburnFestival Sweet! Please share your email ID :),1
@SureshZuri You've got some moves!! Keep them ready for the evening and send us your email ID ASAP.,1
@saqlain_4 Please share your email ID. *WINK*,1
@shraddhagoel11 Please share your email ID ASAP :),1
"Ordering lunch from @FreshMenuIndia? 20% OFF when you may with Ola Money!
#DoNoteWorry
Offers on Box* and Runnr too
https://t.co/qmzLBgE4Nt",0
"Hyderabad &amp; Kolkata ready for #SunburnWithOla? You have 4 words to describe #EDM 
Best answers WIN. Do mention your city in the Tweets :)
RT",1
Last night was amazing thank you @Olacabs for party!!! ????????#SunburnMumbai https://t.co/ztDrZCk0jE,1
@Olacabs #olaselect excellent lounge experience at #NSCB #airport #Kolkata #TFS lounge https://t.co/CU4wfyjHEL,1
"The winners of #SunburnWithOla coming up!! 
Excited? Anxious? Happy? Say it with an emoji!! #Hyderabad #Kolkata",1
"Congrats @smiley_saiteja, @imklaxonic, @shoeab_, @iampalash, @MandaSaiprakash!! You have won yourself passes to #SunburnWithOla #Hyderabad",1
"Congrats to all the winners! Please DM us your full name, email address and contact number! #SunburnWithOla",1
"Here are more winners for #SunburnWithOla #Hyderabad! 
Congrats @vikash136, @kumar_manish1, @jayshan69, @anilremo23, @pavankvin!",1
"The winners of #SunburnWithOla #Kolkata, coming up next!",1
"Congrats @hardik_smart, @Shakbar1Sa, @anupam_bhowmik, @136Pranab, @DaasArnab!! You've won passes to #SunburnWithOla #Kolkata",1
"Here are more winners to #SunburnWithOla #Kolkata - @Arnav90281, @sravi2595, @Insert_Smiley, @ksanyal88!! Congrats guys!",1
"Three cheers to all the participants for making the #SunburnWithOla contest, awesome!! ?? 
Wish you all an awesome weekend, folks!",1
"@gfddd @gfddd Sorry buddy, we don't have any passes left at the moment. Will let you know if something comes up, though. Cheerio ??",1
"@triptoes @triptoes We're excited to hear this! Please share the CRN of this ride, and we'll ensure that your appreciation reaches him!",1
Let's take a trip down memory lane. Which of the following items were you fond of during your childhood?,1
@triptoes Do tell us more about him!,0
@i_srd Ah the joys of Duck Tales!,1
@suhaibhussain26 coming to your doorstep- on Monday!,0
#Kolkata Buy exclusive items from CRY right at your doorstep. Click on NOV 14 icon on the Ola app between 12-4pm.  https://t.co/9bGCDDDI7B https://t.co/KHHtSlzr1b,0
Do something really cool this #ChildrensDay - click on NOV 14 icon on Ola app from 12pm to buy some really cool items from CRY #Kolkata https://t.co/fLZ8nveWfT,1
Just setting the tone here. Remember this song? https://t.co/Q01kcn6f56,0
"Growing up in the 90's was such a joyride, wasn't it? Get these nostalgic goodies delivered to your doorstep #RideLikeAChild https://t.co/2wMgaQunQi",1
@Olacabs Click on the 90s KID icon on the Ola app between 1&amp;6pm to get these! #Mumbai #Delhi #Pune #Bangalore #Chennai #Hyderabad,0
@nagarjund Hey it starts at 1 pm #RideLikeAChild,0
@vinaylohia82 Hey in Kolkata you will find the NOV 14 icon that will let you buy products from CRY. Please do try!,0
Which is your favourite? #RideLikeAChild,0
@iAbhijeetGupta Then you must get your hands on that goodie bag! #RideLikeAChild,0
@Olacabs All items available in the goodie bag including Kisme! Don't forget to grab yours after 1pm! #ChildrensDay #RideLikeACHild,1
"@D_NERD_ Open the Ola app, click on 90s KID icon after 1 pm. That's all - available in Mumbai, Bangalore, Pune, Hyderabad, Delhi and Chennai",0
Bags filled with nostalgic items from the 90s is on your way. Going live at 1pm. Click on the 90sKID icon #RideLikeAChild #ChildrensDay https://t.co/JU4WyxORcF,0
"Our first customer of the day! Enjoy your ride back to the 90s!
#ChildrensDay #RideLikeAChild https://t.co/otJQUTTJcn",1
What was your favourite item? #RideLikeAChild https://t.co/SMKKxuPIz9,0
Happy Children's Day @Flipkart - here's to all the books we grew up on! Question: can you name all the Famous Five? #RideLikeAChild https://t.co/UkdC3V33Z4,1
Hey @ZomatoIN remember this? Happy Children's Day! #RideLikeAChild #InThe90s https://t.co/PWfOevlo1L,1
@ashutoshrath0re New heroes surface everyday! Thanks for sharing this.,1
"Since we're on the 90s trip, what were your favourite songs from that time? #RideLikeAChild 
Here's one from us: 
https://t.co/D9jYgxhRiG",0
"This makes us so nostalgic @ScoopWhoop https://t.co/dvAUMzY1Uq
#ChildrensDay #RideLikeAChild",0
@iAbhijeetGupta @YouTube @iAbhijeetGupta Good one ??,1
"@BeingYousuf @BeingYousuf We're happy to take you back to the 90s ?? Happy Children's Day, Yousuf! #RideLikeAChild",1
"@trumatter Hi Rukmini, this is our children's day campaign where we are delivering items from the 90s in india like Tinkle and Mango bite.",1
"It was a mundane Monday until they decided to take a ride. After that, it was a trip back to childhood. Happy Children's Day #RideLikeAChild https://t.co/XhbhDTKCbP",1
"Here's a strong wave of fashion nostalgia https://t.co/8skIhxF5Ia
What do you think @myntra #RideLikeAChild #ChildrensDay",1
"She's a boxer and an inspiration for all of us! If you want to meet Mary Kom and you're in #Bangalore, let us know! 
@BMM_in",1
"@nitinkh86 @BMM_in Hi Nitin, details in your inbox soon. Congratulations!!",1
@GiftAbled we'd be happy to discuss mor e. Please DM Us.,1
"@ASShishism We're proud of him too, Ashish! And we'd like to express it to him as well. Can you please share your CRN ??",1
@sandyhardikar Glad to hear that you had a great experience??Wish you a wonderful week ahead.,1
#Mumbai Use code 'GOFRO' in more than 3 rides &amp; you could win an all expenses paid trip to Bali! Details: https://t.co/rIC1XQOcjz https://t.co/9RFX35WVea,1
"@TejashDesai241 Tejash, have you tried Ola Money?  It applies on Ola Share rides too.",1
@TejashDesai241 You don't need a separate account for Ola money. Just recharge with your credit/debit/net banking on the Ola app.,0
The comfort of being in the back seat! https://t.co/wEEQSfrJ9x,1
@ParulKanse Have you tried #OlaMoney?,0
"Pranay of @Olacabs talked about digitally empowering around 500K cab drivers, bringing them into the formal economy.",0
@esgarg That's a good suggestion. We will let the team know.,1
"Raghuvesh Sarup, CMO @Olacabs, ""v r encouragin ppl to tke safe rides&amp;do their bit to make roads&amp;cities safer #DontDrinkAndDrive #OlaBookMadi https://t.co/CnlDzkGRjV",1
@iNilayk Awesome! Enjoy Maria!,1
"@bhajan11 @ola_supports 

Here: https://t.co/XiEzBVsN6Y",0
"As travel partners of @BMM_in , we are proud to drive Padma Shree Mary Kom on #OlaLux! https://t.co/VtGxBP1su5",1
"@digitalwriter1 Yep, winners have been emailed.",1
"@contestpal @olamoney_in Nope, only for first time recharges. :(",0
@PratishV Nope. Hurts like heaven doesn't it,0
@crazyraver1003 @glblctznIN That's going to be the hardest part.  :(,0
@HarsheelShah2 @glblctznIN Winners have been informed over email!,1
Don't panic; just take an Ola. https://t.co/SK0Xw0x5oU,1
@Deepakberiwala @glblctznIN Winners have been emailed Deepak.,1
"@karanAK143 Sadly, there won't be any such magic. :(",0
@Deepakberiwala @glblctznIN Perhaps you need a Hymn for the weekend?,0
"@TriptiAbhishek Hey, that's not us. Our official support account is @ola_supports",1
"@gurl_0707 God, that put a smile on our face :).",1
Got your tickets to @glblctznIN ? Get a free #OlaLux ride to the venue.  Tap on the GCI icon tomo from 11&amp;3pm. https://t.co/6DLImlhSWG https://t.co/1APjTvSeEF,1
#Bangalore Only limited seats available. Apply now at https://t.co/yh2EGFHyZZ #StartupTour2 https://t.co/CTz1fc78se,0
Heading to @glblctznIN? Arrive in style with your complimentary #OlaLux ride. Open the Ola app &amp; click the GCI icon https://t.co/6DLImlhSWG https://t.co/LiGeSbTdu4,1
Running out of cash isn't a reason to stop riding. Get cashback of ?100 on your first 2 cashless rides. Code: CASHLESS #CashlessChalegaIndia https://t.co/WOZOtR9USg,1
"@vishmak Thanks for the shoutout, Vishal :) Wish you a wonderful Sunday!",1
Hey folks! Here's your chance to win some #OlaMoney! #CashlessChalegaIndia https://t.co/fIUNcqDW7x,1
"Hello @ShaadiDotCom , we agree! #SayHello #SayOla https://t.co/78lpz1uaVj",1
"@nishitajojo Three is a crowd, four is a party!",1
@bhash launching @Olacabs  #OlaPlay- the world's first connected car platform for ridesharing! Key Partnerships including @AppleMusic https://t.co/BZtiOXBogW,0
Relentless focus on innovating to win and changing the mobility game for Indian consumers! ???????? @bhash @Olacabs @tarun_davda https://t.co/WDxQdT8fRG,1
"The most advanced in-cab entertainment platform is here.
Introducing #OlaPlay - redefining your ride experience. https://t.co/JCnKGCZkXn https://t.co/88v9QsAjg2",1
"Play pre-buffered HD content &amp; get personalized updates. 
Create an ambience thats perfect for you #OlaPlay
https://t.co/IGP6YmdvPk https://t.co/0zMXfr6h9D",1
"Fill your ride with your favorite music &amp; TV shows. Select from our wide range of entertainment partners #OlaPlay
https://t.co/IGP6YlVUXM https://t.co/YPlQ1qwrUE",1
@Mittermaniac We've heard you :) #olaplay,1
"#Delhi, here's your chance to win #OlaMoney with @HolidayIQ. #CashlessChalegaIndia #OlaDelhi https://t.co/fIUNcqmlfZ",1
@lady_gabbar @lady_gabbar There's always #OlaSelect #NoPeakPricing,0
@PrathibhaP @LoveDIAF Thanks for the shout out Prathibha! Glad we could help.,1
@srinivyasan @c_aashish We've partnered with PNB to convert our cabs into mobile ATMs- we'e already started this in Kolkata.,0
@srinivyasan @c_aashish You can use your card in the swiping machine to withdraw the desired amount of cash.,1
Apparently PNB has tied up with @Olacabs to dispense cash. Demonetisation presents marketing and branding opportunity for the enterprising! https://t.co/TS2mANFaZ9,1
".@Olacabs ties up with Punjab National Bank to bring #MobileATM. 
Fantastic initiative indeed. Seen outside Emall, Chandi Chowk Metro. https://t.co/s1KW2Ywaan",1
@AmitVishnani1 @c_aashish Yes we will bring this to Bangalore soon.,1
"@VivekGandigude @VivekGandigude It's only available outside E Mall, near Chandni Chowk metro station at the moment!",0
"#Bengaluru Here's your chance to WIN a FREE entry into the #BMM2016
Watch this space for more details 
#RunningIsLife #RunningCrew #Runner https://t.co/15UdxoQ7NS",1
"@sajithk16 @BMM_in @maheshnataraj @sajithk16 @BMM_in Then we're sure, @maheshnataraj would be interested in what's coming.",1
@bhargavi199104 @Ashok_Sajjanar @bhargavi199104 Then @Ashok_Sajjanar would love what's coming up.,1
@pradeep8558 @BMM_in @pradeep8558 Then you're in for a treat! Watch this space for more details. #OlaBMM,1
"@BannaRajputana Something's on the way, just for you!! @ankit_singh0 @BMM_in",0
@SnehasishDas Or she could develop a serious case of TUROPHOBIA.,0
"@sviyer Why not! Always connected, always on the go - is the mantra of digital India!",0
Congratulations @AppleMusic &amp; @Olacabs for the incredible partnership. Ola Play will be a hit! https://t.co/GavH6dIxNz,1
"Ola Mobile ATMS will be available various locations in Hyderabad today, in association with SBI &amp; Andhra Bank. Will update soon with details",0
"@Olacabs Meanwhile tell us where you'd like the mobile ATM to go, and we'll make arrangements.",1
"#Hyderabad Ola Mobile ATMs are now available near Military Hospital &amp; Military Canteen, Secunderabad and around Jubilee Hills! https://t.co/QNckN06FL4",0
@PreetiBiswasTOI @timesofindia You could write to us at media(at)olacabs(dot)com - and we'll put you in touch with the right people.,0
@Life_A25 @TheOfficialSBI @bank_andhra @Life_A25 More locations coming soon. Stay connected on Twitter for more details. @TheOfficialSBI @bank_andhra,0
@onenonlykarthik @TheOfficialSBI @bank_andhra @onenonlykarthik We're associated with PNB in Kolkata. The mobile ATMs at #Hyderabad are brought to you in association with SBI &amp; AndhraBank,0
"@shankde_ @shankde_ Not at the moment, Shashank. Will let you know as soon as we have an update.",0
#Kolkata Mobile ATMS in an association with Punjab National Bank are now live in Esplanade and Barabazaar. Please spread the word,1
@charlielocal @hydcitypolice We note your suggestion and have informed the teams - thanks!,1
@gultibewda Our driver-partners are known to have some seriously good taste in music! Especially the retro kind!,1
We are currently live at KBR Park #Hyderabad with our mobile ATMS https://t.co/JKLOMSEzoF,0
@iam_aarv Sure. Shoot us your questions on DM.,0
"#Hyderabad we're here KBR Park, Road number 2, till 2:45. You can come withdraw cash for your needs from our mobile ATM courtesy SBI. https://t.co/OaTKTMjwDt",1
"Due to the fire, and the resultant impact on traffic, peak pricing has been withdrawn from rides originating from #Oshiwara.",0
"@flyda_in Mail us at alliances(at)olacabs(dot)com, and we'll take it from there.",0
@PreetiBiswasTOI We'll be setting up at JNTU in the next hour. This one will be supported by Andhra Bank.,1
#mumbai Please note peak pricing has been removed from all Ola cab rides originating from #Oshiwara. RT https://t.co/4cTSoJWNqT,1
"#Hyderabad our mobile ATM is now available at Ascendas Tech Park, courtesy @bank_andhra Spread the word!",1
"#Hyderabad, if you're around Ascendas Tech Park, and want to withdraw some cash, please head over to our mobile ATM, courtesy @bank_andhra https://t.co/EfRE1U1SvZ",1
"#Hyderabad Our next mobile ATM is at Casa Rouge Lane, Hi-tech City. Near Google office &amp; Heart Cup Cafe. Share the news. https://t.co/6L72BCfFN2",1
"This weekend, pay with #OlaMoney on @bookmyshow &amp; get ?100 cashback! #CashlessChalegaIndia Details: https://t.co/g9wBRkgmQN https://t.co/uxnMS4TVED",0
".@Olacabs mobile ATMs in action. 
Helping people in a very innovative way. You guys rock! :) #Hyderabad #DeMonetisation #CashCrunch @Bhash https://t.co/Dtla0IQ7PH",1
"Join us on the journey to bring smiles! Watch this space for more details.
#Ola #EzeeHugs https://t.co/4qs7W1i4dL",1
"Thanks to @mdpnb in helping us making ATMs accessible to more people. #Kolkata, stay tuned for more updates. https://t.co/GCgaIAnpMi",1
#Bengaluru share a pic of your running gear or running stats from your fitness app &amp; WIN registration to Bengaluru Midnight Marathon #OlaBMM https://t.co/NCaOVO5eLR,1
"Start sharing pics of your activity stats / running gear &amp; WIN! 
For more details, visit - https://t.co/WJSupIi3Xp #OlaBMM
#Bengaluru",1
"Thank you @Olacabs for teams up with SBI, PNB for setting up mobile ATMs. 'Alone we are strong, together we are stronger'  :)",1
Today is the last day to share pics of your running gear / activity stats! Share and WIN!!??#OlaBMM @BMM_in https://t.co/dgCmGYMm2f,1
@Manjunathan Sure Manjunathan. Don't forget to use the HT #OlaBMM while posting your pic.,1
@princepatni Hope you have submitted a photo of your activity/ running gear #OlaBMM @BMM_in,1
"@pradeep8558 Hey Pradeep, don't forget to post the pics of your runnings stats/gear and WIN! #OlaBMM @BMM_in",1
"@maloochirag Hey Chirag, don't forget to post the pics of your running stats/ gear and WIN! #OlaBMM @BMM_in",1
Here's your chance to WIN free registration to Bengaluru Midnight Marathon! #OlaBMM #MondayMotivation @BMM_in https://t.co/dgCmGYMm2f,1
@iamsumitsandhu Ummm. Could you share the CRN of this ride?,1
"@princepatni @adult_kid @itsSDJ @rachit_g2 @D_NERD_ The contest closes today, send in your entries soon! #OlaBMM",0
"Ah, Shaik Nadeem just had a fanboy moment in #OlaLux! https://t.co/zH5HUvrZkQ",0
"@salnaa Thanks Salina, you've made our day ??",1
"""The Ratan Tata I know: inspiring a generation"" - writes @bhash of @Olacabs about his interactions w/ @RNTata2000 https://t.co/msLd0LFscF https://t.co/4G0wmAqb17",1
@nikhilvij03 Thanks for pointing it out. This has been sorted.,1
.@kapoorkkunal  He's a fan! #OlaLux https://t.co/zH5HUvrZkQ,1
"Congrats to all the winners of #OlaBMM. Please DM us your full name, phone number &amp; email id. https://t.co/ROv581QGuE",1
@tinucherian Thanks for your support!  This Friday we'll be bringing this to many more cities. We will update with details soon.,1
@tinucherian @KTRTRS Your tweet report was actually an inspiration. We would love your help in identifying the areas for this initiative.,1
"@GTrishik Great to know, Trishik ??We'd also love to hear what the important lesson is about. #TalesFromACab",1
@priyam254 Enjoy your #OlaLux ride!,1
"@infiniti84 @infiniti84 Welcome to #OlaAuto, Rajee. And we agree, #Cashless is #CareFree ??",1
"We are proud to join hands with @GodrejEzee on the #EzeeHugs initiative.
You can the support the cause too! Details: https://t.co/N1BfXd7pa9 https://t.co/c3sm7IuONt",1
"Know of an offbeat location in India? Tweet with #OlaOutstationWithFab &amp; you could WIN a 3D/2N stay @FabHotels

https://t.co/g2gIEAkK9F https://t.co/P4yaDh2VaK",1
**Contest Alert** Participate in #OlaOutstationWithFab and win a 3D/2N stay at @FabHotels! RT  @ContestBoard @Contest_Hub @Contesttable https://t.co/FDnG0ktLVu,1
"#OlaPlay is the worlds first connected car platform, that will offer on-the-go access to @AppleMusic, TV shows &amp; Movies  all in one place. https://t.co/pWi8vdVDr3",0
Saw this at Fort Kochi! @Olacabs ties up with PNB to bring #MobileATMs to #Kochi roads. Great Initiative ! https://t.co/bTttT3qyrQ,1
"#MobileATM now located at Simpark Mall, Outside New Market,
Shakespeare Sarani &amp; AJC Bose Road Crossing #CashlessChalegaIndia https://t.co/SkfYjw05mg",0
"From your food orders to booking movie tickets, we have you covered! Now pay using #OlaMoney #CashlessChalegaIndia 
https://t.co/8pw9HFghVJ https://t.co/O0bWnBYXe1",0
Spreading warmth just got easier. We are proud to announce that @OlaCabs joins the #EzeeHugs initiative. Its your turn to support the cause https://t.co/WNZqYMAZJL,1
"@LilMissDoubtful @FabHotels @LilMissDoubtful Great suggestions for offbeat destinations. ??
@FabHotels",1
Know someone who is celebrating their wedding anniversary this week? Tag them in the reply. A surprise coming your way! #LuxAnniversary,1
"Celebrating your wedding anniversary this week? Share a photo of your wedding invite &amp; WIN a #LuxAnniversary ride!
https://t.co/5Y2mOh3cQh https://t.co/LBhR3OaM4S",1
@unusualrant @iTunes @abhishekmis Thrilled to hear! Which is your favourite track? #OlaPlay #AppleMusic https://t.co/4hP9yEwOMc,1
@sonika_khambra Anniversary should be between 1st and 8th December!,0
@g_vinay15 That's awesome! @MuhammedZameer9 - Share a photo of your wedding invite??,1
@ankibn Awesome! @kanchan_dua Please share a photo of your wedding invite for a #LuxAnniversary,1
"Do your bit, take an #OlaShare! #PollutionControlDay https://t.co/5bYfyK6ArW",0
Let's play. #OlaPlay https://t.co/IS4Pzh3JKe,1
"@kushal_kkb Hey, you have won a #OlaLux ride for your sister's wedding. DM us your phone number &amp; address. #LuxAnniversary",1
MOU exchange between Govt of Odisha and Ola cabs to train 3500 drivers and provide gainful employment.  #MakeinOdisha #SkillIndia https://t.co/6Z3HQW3SEj,0
Follow @OlaCabs and #MobileATMs on Twitter for live updates on the location of the atm in #Chennai!,0
@manojshesh24 We will have it tomorrow. Stay tunes for more. #MobileATMs,0
"#MobileATMs from OLA, powered by Indian Overseas Bank and Radio City in #Chennai today!
Follow us on Twitter for live location updates. https://t.co/T8M9GUrkhw",0
"This day 6 years ago we started our trip from a small house but with big dreams!
Thanks to everyone of you whose joined us in the journey! https://t.co/WE34kyBmmJ",1
"The #MobileATM is now available at Express Avenue Mall, courtesy Indian Overseas Bank. #Chennai 
Stay tuned for more updates. https://t.co/q2T9oXS0S8",1
"The #MobileATM is now available at Mylapore, courtesy Indian Overseas Bank. #Chennai 
Stay tuned for more updates. https://t.co/r5YywlhYhV",1
"Here is the updated list of locations for #MobileATMs in #Chennai.
Details: https://t.co/jxdwHOSGYm",0
"#MobileATM is now available at Saidapet (Near Karneeshwarar temple), courtesy Indian Overseas Bank. #Chennai 
Stay tuned for more updates.",1
"#MobileATM from OLA, powered by Indian Overseas Bank and Radio City now stationed at Mylapore (Luz church Road). #Chennai",0
"#MobileATM from OLA, powered by Indian Overseas Bank and Radio City now stationed at West Mambalam (Thambiah Road). #Chennai https://t.co/EL6mOpyMUY",0
Now you can pay for your fuel through #OlaMoney! @olamoney_in @dpradhanbjp @hpcl #CashlessChalegaIndia https://t.co/IqSkYagMpO,0
@khalidahmed8 sure. Help us build one? #olaPlay,1
"Go after the things you want, don't wait for them to come to you.
Unless it's an ATM! #MobileATM coming near you, courtesy @YESBANK https://t.co/OSTMOW3TYk",1
"Here's the list of current locations of the #MobileATM, courtesy @YESBANK at your city - https://t.co/xAy5zMga1i Stay tuned!!",1
"#MobileATM from OLA, powered by @YESBANK now stationed at Santacruz West. #Mumbai. Stay tuned for more updates. https://t.co/aPxOo1Lk2O",0
"Hey #Mumbai, if you near Prabhadevi, there is a #MobileATM from us, powered by @YESBANK now stationed close-by. Stay tuned for more updates. https://t.co/zgaMjsRw0s",0
"The #MobileATM courtesy @YESBANK is now available at Andheri West (New Link Road), #Mumbai.
Stay tuned for more updates.",1
"The #MobileATM is now available at Hitech city, courtesy @YESBANK . #Hyderabad
Stay tuned for more updates.",1
"Hey #Hyderabad, if you near Begumpet, there is a #MobileATM from us, powered by @YESBANK now stationed close-by. Stay tuned for more updates https://t.co/rGDiQoAoRR",0
"The #MobileATM courtesy @indiapnb is now available at Ola office, Udyog Vihar. Stay tuned for more updates. #Delhi https://t.co/kBMUhPNckz",1
"Hey Delhiites, the #MobileATM powered by @indiapnb is now available at AIIMS and Tilak Nagar. Stay tuned for more updates. #Delhi",0
"Hey #Chennai, we have an active #MobileATM powered by @YESBANK near StarCity service apartment, T Nagar! Watch this space for more updates. https://t.co/zdWXVJBTvI",1
@Olacabs mobile atm @YESBANK thank you so very much guys!! It's very helpful cheers fr u guys! #Hyderabad https://t.co/qH1oEL32Gy,1
"Hey Delhiites, the #MobileATM powered by @indiapnb is now available at Laxmi Nagar, Mayur Vihar Phase 2 and Yamuna Vihar. #Delhi",0
The #MobileATM courtesy @indiapnb is now available at Nand Nagri and Fountain chowk Gurgaon. Stay tuned for more updates. #Delhi https://t.co/GDQCfaObfS,1
@JustVickyfz @JustVickyfz Thanks Vicky! ??,1
#MobileATM updates: We now have an active #MobileATM powered by @YESBANK at Madhapur #Hyderabad! Head there if you're in the neighbourhood https://t.co/ZOQqBaaj99,1
@UttareshV the #MobileATM's are available till 4 PM.,0
"Traveling? Staying at a hotel this weekend? Don't visit ATMs, shoot a video review on HolidayIQ app &amp; get INR 300* in your @Olacabs wallet! https://t.co/8FtbZaBbTp",1
"@jaimumbaikar Hey, You would be eligible for #LuxAnniversary only if your wedding anniversary falls between 1st to 8th December.",0
Congrats @jaarora!! You've won yourself a free Lux Ride on your anniversary! Please DM your email and phone number. #LuxAnniversary https://t.co/ZxEhoHwC3E,1
"@vm_santhosh Hey Santhosh, please share the photo of your printed wedding invite! #LuxAnniversary",1
"@Mannkatweet Congrats Manish. You've won yourself an #OlaLux ride! Please DM your full name, phone number and email id! #LuxAnniversary",1
@artigoel0612 @riteshgoel_goel Belated Wedding Anniversary Arti and Ritesh. Please DM your phone number &amp; email. #LuxAnniversary,1
"@shanaticniko Thanks for the shout-out, Saliya! We're proud to be your #BackupPlan in such a situation ??@MaxLifeIns",1
"@engeetham Welcome to the #PrimeLife, Gautham!",1
"@bhansalip Hey Priyanka, please share a photo of your printed wedding invite! #LuxAnniversary",1
"@ShahDhavall Hey Dhaval, kindly ask your friend to share a photo of their printed invite with the HT #LuxAnniversary",1
@vm_santhosh Thanks Santhosh. And belated anniversary wishes. Please DM us your email id and phone number. #LuxAnniversary,1
@knowkenny Hey Kenny. Sorry to hear this. Not what we want people to remember Bangalore by. DM us your no. And we'll check what went wrong.,0
"#Mumbai, a big congrats to Kunal Jain, the lucky winner of the 'Ola to Bali contest'. He wins an all expenses paid trip to Bali. https://t.co/9AgTyQbqSe",1
On popular demand #LuxAnniversary contest has been extended till 10th Dec. Is your wedding anniversary coming up in the next 4 days? https://t.co/vLLLlqRWhI,1
@shehazad @shehazad Hold on! We may have something special coming next week too! #LuxAnniversary,1
